TimeStamp,myo_emg0,myo_emg1,myo_emg2,myo_emg3,myo_emg4,myo_emg5,myo_emg6,myo_emg7,myo_avg,myo_quatw,myo_quatx,myo_quaty,myo_quatz,myo_accx,myo_accy,myo_accz,myo_gyrox,myo_gyroy,myo_gyroz,dummy,dummy,myo_max,myo_reset
0.00147223,-3,0,-1,-3,-2,-1,-2,-3,0,0.94763184,0.12347412,0.04058838,0.29156494,-0.00390625,0.25048828,0.9375,1.8125,-1.625,0.4375,1.16315E+33,1.16315E+33,0,
0.0131278,-4,-7,1,-1,-4,-3,-1,-3,0,0.94763184,0.12347412,0.04058838,0.29156494,-0.00390625,0.25048828,0.9375,1.8125,-1.625,0.4375,1.16315E+33,1.16315E+33,0,
0.02388692,1,-2,14,1,1,0,-1,-2,0,0.94763184,0.12335205,0.04022217,0.29174805,-0.00439453,0.24951172,0.9296875,-1.375,-1.6875,0.9375,1.16315E+33,1.16315E+33,0,
0.03482461,-7,-16,-1,-4,-3,-1,-1,-4,0,0.94763184,0.12335205,0.04022217,0.29174805,-0.00439453,0.24951172,0.9296875,-1.375,-1.6875,0.9375,1.16315E+33,1.16315E+33,0,
0.045609,-3,-2,2,-1,0,0,-3,-3,0,0.94763184,0.12298584,0.03985596,0.29199219,-0.00195312,0.2421875,0.93701172,-2.5625,-1.1875,1.4375,1.16315E+33,1.16315E+33,0,
0.0564177,-4,27,-12,0,-1,0,0,-1,0,0.94763184,0.12298584,0.03985596,0.29199219,-0.00195312,0.2421875,0.93701172,-2.5625,-1.1875,1.4375,1.16315E+33,1.16315E+33,0,
0.06683588,-4,27,-12,0,-1,0,0,-1,0,0.9475708,0.12255859,0.03973389,0.29223633,-0.00732422,0.24316406,0.9296875,-2.3125,0.0625,1.5625,1.16315E+33,1.16315E+33,0,
0.07723832,4,19,5,1,-2,-1,-1,1,0,0.9475708,0.12255859,0.03973389,0.29223633,-0.00732422,0.24316406,0.9296875,-2.3125,0.0625,1.5625,1.16315E+33,1.16315E+33,0,
0.08773136,0,0,-7,-4,0,-2,-2,0,0,0.94750977,0.12219238,0.04003906,0.2925415,-0.02197266,0.24365234,0.93554688,-1.375,1.375,1.8125,1.16315E+33,1.16315E+33,0,
0.09824419,1,-6,-1,1,1,0,3,2,0,0.94750977,0.12219238,0.04003906,0.2925415,-0.02197266,0.24365234,0.93554688,-1.375,1.375,1.8125,1.16315E+33,1.16315E+33,0,
0.10865116,1,-6,-1,1,1,0,3,2,0,0.94750977,0.12219238,0.04003906,0.2925415,-0.02197266,0.24365234,0.93554688,-1.375,1.375,1.8125,1.16315E+33,1.16315E+33,0,
0.11902404,1,-6,-1,1,1,0,3,2,0,0.94750977,0.12219238,0.04003906,0.2925415,-0.02197266,0.24365234,0.93554688,-1.375,1.375,1.8125,1.16315E+33,1.16315E+33,0,
0.12938404,1,-6,-1,1,1,0,3,2,0,0.9473877,0.12207031,0.04077148,0.29284668,-0.04052734,0.24414062,0.93408203,0.6875,2,1.875,1.16315E+33,1.16315E+33,0,
0.1398313,3,-5,3,1,-1,1,-1,0,0,0.94732666,0.12219238,0.04156494,0.29302979,-0.04101562,0.25488281,0.9453125,1.875,1.8125,1.1875,1.16315E+33,1.16315E+33,0,
0.15036273,-2,6,1,-1,0,1,1,-1,0,0.94732666,0.12219238,0.04156494,0.29302979,-0.04101562,0.25488281,0.9453125,1.875,1.8125,1.1875,1.16315E+33,1.16315E+33,0,
0.16085362,-2,-14,-3,-3,-1,-2,-1,-3,0,0.94726562,0.12213135,0.04211426,0.29309082,-0.04492188,0.24121094,0.95166016,1.1875,0.625,0.625,1.16315E+33,1.16315E+33,0,
0.17144299,-4,-3,2,-1,2,-2,-1,0,0,0.94726562,0.12219238,0.04211426,0.29296875,-0.01806641,0.23095703,0.93798828,1.5,-0.75,-0.4375,1.16315E+33,1.16315E+33,0,
0.18198729,0,11,3,-3,-2,-1,-2,-3,0,0.94726562,0.12219238,0.04211426,0.29296875,-0.01806641,0.23095703,0.93798828,1.5,-0.75,-0.4375,1.16315E+33,1.16315E+33,0,
0.19248986,0,1,1,2,0,1,0,-1,0,0.94732666,0.12231445,0.04180908,0.29290771,0.00146484,0.24267578,0.93066406,0.25,-1.5,-0.375,1.16315E+33,1.16315E+33,0,
0.20295548,3,-9,-3,-3,0,-1,-3,-2,0,0.94732666,0.12231445,0.04180908,0.29290771,0.00146484,0.24267578,0.93066406,0.25,-1.5,-0.375,1.16315E+33,1.16315E+33,0,
0.21338916,0,-9,-1,-2,2,-1,-1,0,0,0.9473877,0.12182617,0.04138184,0.29290771,0.00488281,0.24316406,0.921875,-3.5,-0.75,-0.25,1.16315E+33,1.16315E+33,0,
